Farmer_ID,Application_Date,Age,Gender,Education_Level,Marital_Status,Family_Size,Dependents,Farming_Experience_Years,State,District,Farm_Size_Acres,Land_Ownership,Soil_Type,Soil_Quality_Index,Irrigation_Availability,Primary_Crop,Secondary_Crop,Annual_Rainfall_mm,Average_Temperature_C,Humidity_Percent,Flood_Risk,Drought_Risk,Cyclone_Risk,Pest_Risk,Weather_Risk_Index,Climate_Zone,Average_Yield_Last3Years_TonsPerAcre,Crop_Insurance,Government_Subsidy,MSP_Eligible,Annual_Farm_Income,Annual_Farm_Expenses,Tractor_Ownership,Farm_Equipment_Value,Livestock_Count,Asset_Value,Liability_Value,Savings,Bank_Balance,Credit_Score,Existing_Loan_Count,Existing_Loan_Amount,Previous_Default,Repayment_History_Score,Debt_to_Income_Ratio,Loan_Amount_Requested,Loan_Purpose,Interest_Rate_Percent,Loan_Tenure_Months,EMI,Income_Stability_Index,Farm_Productivity_Index,Climate_Risk_Index,Financial_Health_Index,Loan_Affordability_Index,Asset_Strength_Index,Overall_Risk_Factor,Risk_Score,Loan_Status,Application_year,Application_month,Application_day
AGR100565,2021-05-06,68.0,Male,Primary,Married,7.0,3.0,47.0,Telangana,Karimnagar,3.06,Mixed,Black,73.4,,Cotton,Maize,935.2,27.3,27.3,,,,Low,13.9,Semi-Arid,4.53,,,,2220200.0,151308.0,,131062.0,2.0,452116.0,115846.0,42904.0,12588.0,465.0,2.0,47231.0,Unknown,83.6,0.212,64077.0,Livestock,14.0,24.0,2466.34,54.1,71.9,13.8,67.8,69.9,48.7,52.7,34.5,Approved with Conditions,2021,5,6
AGR111490,2021-05-08,27.0,Unknown,Unknown,Married,7.0,3.0,10.0,Haryana,Karnal,1.78,Unknown,Sandy Loam,53.2,,Wheat,Rice,592.8,24.0,38.4,,,,Medium,53.5,Arid,2.19,,,,197500.5,52268.0,,87120.0,4.0,199008.0,16288.0,2578.0,0.0,324.0,3.0,136011.0,,56.5,0.187,30747.0,Storage,16.0,24.0,1505.46,62.7,34.5,52.9,26.3,30.9,56.3,65.6,17.6,Rejected,2021,5,8
AGR115761,2021-05-10,44.0,Female,Higher Secondary,Married,4.0,1.0,27.0,Himachal Pradesh,Kullu,13.18,Leased,Loamy,73.1,,Unknown,Pulses,1057.2,10.1,34.3,,,,Medium,16.7,Temperate/Hill,3.87,,,,1809087.0,892714.0,,681998.0,2.0,1592311.0,309332.0,46817.0,20584.0,472.0,2.0,139523.0,,52.3,0.094,1203362.0,Farm Expansion,13.77,60.0,27856.47,71.0,66.3,13.4,58.5,61.05,52.4,65.3,26.3,Rejected,2021,5,10
AGR101085,2023-02-27,23.0,Unknown,Unknown,Married,6.0,2.0,2.0,Andhra Pradesh,Unknown,2.01,Owned,Red,64.9,,Chilli,Unknown,627.2,31.1,45.3,,,,Low,41.0,Arid,2.79,,,,113745.0,65513.0,,39126.0,3.0,231168.0,77553.0,8145.0,8747.0,300.0,0.0,0.0,,33.1,0.187,118888.0,Processing Unit,16.0,36.0,2783.61,61.3,54.4,41.1,40.8,0.0,48.4,100.0,8.1,Rejected,2023,2,27
AGR118607,2022-12-14,49.0,Male,Primary,Married,2.0,3.0,34.0,Andhra Pradesh,Visakhapatnam,7.32,Owned,Unknown,58.4,,Chilli,Groundnut,938.7,26.6,44.0,,,,Low,70.4,Semi-Arid,3.68,,,,435145.0,215514.0,,183684.0,4.0,1402533.0,545239.0,88412.0,51221.0,503.0,0.0,0.0,,62.8,0.125,33360.0,Seeds,13.97,60.0,775.68,53.1,62.9,66.5,63.2,80.5,57.0,57.3,40.7,Approved with Conditions,2022,12,14
AGR104756,2024-09-16,46.0,Male,Secondary,Married,5.0,2.0,25.0,Gujarat,Vadodara,5.27,Shared,Sandy Loam,58.2,,Groundnut,Castor,780.6,24.5,42.5,,,,Low,49.4,Semi-Arid,1.72,,,,197500.5,91321.0,,606946.0,3.0,636015.0,259087.0,3848.0,2587.0,300.0,1.0,39846.0,,32.2,0.404,84754.0,Irrigation,16.0,48.0,2401.96,53.9,24.9,47.9,45.0,51.6,44.1,92.2,9.8,Rejected,2024,9,16
AGR102621,2022-05-19,22.0,Male,Primary,Single,9.0,3.0,4.0,Uttarakhand,Haldwani,1.04,Owned,Mountain,51.0,,Wheat,Maize,1803.5,21.3,62.9,,Unknown,,Medium,59.3,Humid Sub-Tropical,3.6,,Unknown,,50000.0,101022.5,,6784.0,5.0,109984.0,130972.0,7100.0,1772.0,457.0,0.0,0.0,,62.0,0.091,20000.0,Irrigation,15.18,6.0,3482.45,38.9,20.1,67.1,62.7,17.2,49.1,84.6,39.1,Approved with Conditions,2022,5,19
AGR116723,2024-11-07,39.0,Male,Graduate,Married,3.0,1.0,20.0,Uttar Pradesh,Kanpur,1.62,Shared,Alluvial,72.3,,Rice,Pulses,1104.4,27.3,37.8,,,,Medium,56.3,Semi-Arid,2.65,,,,566880.0,35322.0,,19314.0,1.0,242685.0,73337.0,12488.0,11343.0,449.0,1.0,112516.0,,92.3,2.114,20000.0,Seeds,13.29,36.0,676.63,31.4,42.9,64.4,35.9,61.05,51.6,97.7,27.0,Rejected,2024,11,7
AGR113666,2021-09-09,35.0,Male,Higher Secondary,Widowed,2.0,1.0,27.0,Tamil Nadu,Tiruchirappalli,1.14,Mixed,Alluvial,75.3,,Sugarcane,Banana,1139.4,34.4,41.9,,,,Medium,41.2,Semi-Arid,4.14,,,,55133.0,10000.0,,174401.0,3.0,244416.0,33049.0,23160.0,594.0,343.0,1.0,199937.0,,87.5,3.686,20000.0,Irrigation,15.91,36.0,1813.75,50.5,72.2,37.8,59.8,6.5,52.2,100.0,24.5,Rejected,2021,9,9
AGR113628,2024-05-14,27.0,Female,Higher Secondary,Married,6.0,3.0,7.0,Chhattisgarh,Raipur,1.63,Owned,Red,58.5,,Rice,Groundnut,1347.6,26.4,43.2,,,,Medium,42.3,Semi-Arid,3.32,,,,55678.0,10000.0,,11193.0,5.0,194895.0,130972.0,9257.0,1705.0,386.0,1.0,30665.0,,84.2,3.525,45038.0,Unknown,15.74,36.0,1577.68,47.6,53.5,46.8,13.9,9.5,55.4,100.0,21.7,Rejected,2024,5,14
AGR104347,2022-02-14,48.0,Male,Higher Secondary,Unknown,7.0,3.0,30.0,Assam,Guwahati,7.1,Owned,Unknown,76.4,,Rice,Jute,1805.2,27.2,48.5,,,,Medium,40.8,Humid Sub-Tropical,4.57,,,,382227.0,150204.0,,205742.0,3.0,669956.0,185230.0,48505.0,22393.0,489.0,0.0,0.0,,72.5,0.048,214913.0,Greenhouse,13.97,12.0,19293.5,56.2,76.6,48.9,62.7,44.8,54.8,60.3,45.0,Approved,2022,2,14
AGR101152,2023-10-20,30.0,Male,Secondary,Married,4.0,1.0,10.0,Haryana,Sirsa,4.06,Owned,Alluvial,60.3,Unknown,Wheat,Rice,517.4,20.6,30.8,,,,Low,8.2,Arid,2.83,,,,96353.0,69097.0,,10506.0,7.0,556061.5,64423.0,23253.0,2918.0,449.0,0.0,0.0,,80.1,0.067,20000.0,Seeds,14.06,12.0,1796.34,44.6,37.0,3.9,56.3,65.4,52.4,58.2,42.3,Approved with Conditions,2023,10,20
AGR110124,2021-07-13,43.0,Female,Primary,Married,1.0,0.0,27.0,Uttar Pradesh,Meerut,2.84,Leased,Clay,64.8,,Wheat,Mustard,1027.8,28.7,62.3,,,,Medium,36.1,Semi-Arid,4.04,,,,127958.0,91671.0,,3074488.0,2.0,534241.0,222252.0,25963.0,7680.0,465.0,0.0,0.0,,91.2,0.174,20065.0,Fertilizer,13.53,12.0,1797.18,56.6,53.5,18.5,72.3,62.6,57.5,65.6,42.7,Approved with Conditions,2021,7,13
AGR102449,2025-11-03,43.0,Other,Illiterate,Married,9.0,5.0,27.0,Tamil Nadu,Tiruchirappalli,3.52,Owned,Alluvial,67.5,,Rice,Banana,907.0,30.5,48.8,,,,Medium,57.5,Semi-Arid,2.71,,,,197500.5,69612.0,,141384.0,8.0,317712.0,112164.0,17315.0,3559.0,403.0,1.0,30665.0,,91.2,1.434,52886.0,Equipment,14.36,36.0,1816.8,35.3,43.0,55.3,59.8,55.6,48.6,84.4,31.3,Rejected,2025,11,3
AGR101895,2022-04-01,40.0,Male,Illiterate,Single,4.0,2.0,19.0,Uttar Pradesh,Meerut,5.49,Leased,Alluvial,82.6,,Rice,Potato,1131.4,25.1,54.0,,,,Low,13.9,Semi-Arid,4.5,,,,394023.0,271833.0,,548769.0,3.0,1065512.0,60164.0,41448.0,21922.0,445.0,3.0,44241.0,,58.4,0.128,244953.0,Processing Unit,13.01,36.0,8254.31,68.4,80.2,9.7,61.6,68.9,50.5,48.2,45.8,Approved with Conditions,2022,4,1
AGR109448,2023-10-06,43.0,Male,Secondary,Widowed,5.0,3.0,23.0,Bihar,Muzaffarpur,15.75,Owned,Alluvial,68.8,,Rice,Wheat,1389.9,25.4,45.1,,,,Low,45.4,Semi-Arid,4.21,,,,1294669.0,101022.5,,451448.0,6.0,1777296.0,353506.0,281106.0,34875.0,622.0,1.0,119081.0,,97.8,0.119,365312.0,Livestock,10.29,12.0,32166.36,60.7,73.3,36.4,64.7,71.2,47.8,57.1,51.3,Approved,2023,10,6
AGR108018,2025-10-28,46.0,Male,Graduate,Widowed,7.0,3.0,25.0,Rajasthan,Unknown,1.23,Shared,Arid,34.0,,Mustard,Wheat,281.1,28.0,45.8,,,Unknown,Low,18.9,Arid,2.22,,,,50000.0,14342.0,,19447.0,3.0,123261.0,56062.0,4281.0,3635.0,476.0,1.0,0.0,,78.6,0.112,23018.0,Greenhouse,14.5,24.0,1110.56,46.5,26.5,13.0,69.9,66.8,49.5,60.7,37.2,Approved with Conditions,2025,10,28
AGR100894,2021-10-27,56.0,Female,Primary,Married,2.0,3.0,41.0,Odisha,Bhubaneswar,3.17,Owned,Laterite,54.6,,Rice,Jute,1322.3,26.3,47.5,,Unknown,,Medium,11.1,Semi-Arid,3.99,,,,193216.0,106579.0,,63819.0,2.0,300685.0,49135.0,5801.0,7783.0,519.0,0.0,0.0,,80.1,0.025,67936.0,Greenhouse,12.66,12.0,6056.87,53.9,62.7,12.5,62.9,57.3,44.4,58.9,54.5,Approved,2021,10,27
AGR104706,2021-08-26,48.0,Male,Primary,Married,5.0,2.0,31.0,Haryana,Panipat,5.4,Owned,Sandy Loam,45.1,,Mustard,Bajra,536.8,24.6,32.6,,,,Low,16.2,Arid,3.14,,,,263761.0,152153.0,,652222.0,5.0,1019027.0,434105.0,33562.0,11171.0,369.0,1.0,263792.0,,62.0,1.165,64077.0,Equipment,14.99,24.0,3848.81,59.0,42.6,12.6,42.5,52.9,62.0,70.3,40.0,Approved with Conditions,2021,8,26
AGR113553,2022-11-15,57.0,Male,Graduate,Single,3.0,2.0,39.0,Uttarakhand,Nainital,4.38,Owned,Mountain,53.5,,Wheat,Maize,1697.7,16.9,39.8,,,,Low,4.6,Temperate/Hill,3.55,,,,210476.0,100772.0,,118552.0,5.0,523769.0,123448.0,27648.0,9808.0,488.0,0.0,0.0,,84.5,0.059,198764.0,Farm Expansion,13.18,6.0,34412.29,68.8,55.6,10.2,65.2,0.0,53.6,66.7,49.1,Approved,2022,11,15
AGR108454,2025-12-17,32.0,Male,Illiterate,Married,7.0,2.0,15.0,Uttar Pradesh,Meerut,8.07,Owned,Alluvial,74.1,,Sugarcane,Pulses,1083.4,20.5,38.3,,,,Low,18.4,Semi-Arid,4.04,,,,197500.5,164271.0,,117265.0,3.0,795317.0,154598.0,31457.0,10622.0,498.0,0.0,0.0,,68.8,0.031,90842.0,Livestock,12.19,48.0,2400.66,66.3,59.6,12.1,61.3,89.4,45.8,51.2,56.3,Approved,2025,12,17
AGR110338,2024-05-23,55.0,Female,Higher Secondary,Single,6.0,2.0,35.0,Madhya Pradesh,Jabalpur,7.08,Shared,Black,74.2,,Soybean,Gram,1076.2,30.1,38.2,,,,High,25.1,Semi-Arid,3.69,,,,256887.0,155867.0,,75960.0,1.0,905241.0,364646.0,32197.0,21091.0,505.0,0.0,0.0,Unknown,76.4,0.142,44151.0,Unknown,13.14,12.0,3946.23,62.2,60.2,18.4,49.8,71.8,47.5,56.6,51.7,Approved,2024,5,23
AGR100359,2022-02-24,36.0,Male,Secondary,Married,10.0,3.0,19.0,Tamil Nadu,Salem,0.75,Leased,Alluvial,67.2,,Rice,Millets,1707.2,24.4,43.9,,,,Low,4.0,Humid Sub-Tropical,4.11,,,,50000.0,12894.0,,144321.0,1.0,178002.0,65192.0,2999.0,1397.0,300.0,1.0,205727.0,,71.0,4.245,20000.0,Fertilizer,16.0,60.0,486.36,68.3,76.6,4.2,0.0,22.1,47.0,100.0,40.1,Rejected,2022,2,24
